fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220423 112229	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.062464377148408	0.474560272064709	5478	472	0.015106205436141	13704000	66
20220423 112247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.234504998519488	0.200159130390808	7999	1024	0.0153507017751747	13022000	67
20220423 112309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.230636870600052	0.56996127214458	7999	740	0.0220316153691259	12801000	68
20220423 112337	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.133809808348555	0.201782155448674	7999	898	0.0141388493016994	13289000	69
20220423 112357	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.299861027839005	0.279303768753043	8000	21	0.0168541906604812	12881000	70
20220423 112411	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.275830125381993	0.998984337082319	8000	16	0.0211270788312978	12897000	71
20220423 112708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	467	TRUE	0.0100231949903669	0.769868476060653	2823	66	0.0200473034713086	13362000	72
20220423 112730	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	79	TRUE	0.299765675357851	0.996705880870395	8000	113	0.00857073597680651	10398000	73
20220423 112752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.187555267909039	0.451776836571808	7999	16	0.0228145969367027	12845000	74
20220423 113139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	997	TRUE	0.0102227652669211	0.379682576852013	2167	17	0.023130760398483	12934000	75
20220423 113434	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	597	TRUE	0.0100164177266565	0.655560433377786	3935	332	0.0169894847978085	13574000	76
20220423 113838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	716	TRUE	0.0102441947961632	0.99674532450658	2026	107	0.015126836414372	13268000	77
20220423 113855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.283570159842431	0.200294109078687	8000	279	0.0236553246609904	12392000	78
20220423 113919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.125334810156364	0.682790124153915	5473	142	0.016940348529441	13019000	79
20220423 113935	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	0.299766492071045	0.997765806806912	3597	16	0.0195148345069392	11638000	80
20220423 114239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	432	TRUE	0.0100030317147241	0.686909089464364	2496	1005	0.0176162652175397	13786000	81
20220423 114322	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	0.0547754971335745	0.693305541448105	3461	1024	0.0168004763849632	13508000	82
20220423 114413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	91	TRUE	0.0453155279947584	0.664822771410083	2180	120	0.0169185719069401	13650000	83
20220423 114448	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.126095777209978	0.52316816713683	5502	809	0.0147776167965536	13162000	84
20220423 114507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.252027433607319	0.491308146593892	7139	16	0.0194473892682002	12942000	85
20220423 114531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	0.185902846996515	0.372252297813946	7971	1024	0.018642990594832	12812000	86
20220423 114612	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	77	TRUE	0.0662847984110036	0.582213512521429	4543	502	0.0154193309721901	13246000	87
20220423 114905	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	517	TRUE	0.0100306460365033	0.675510737961911	3589	874	0.0171015286043845	13802000	88
20220423 114931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.11610899530503	0.205302552565271	8000	45	0.0171658669354148	13191000	89
